warID,participantID
Q190758,Q384535
Q322607,Q801
Q322607,Q241
Q322607,Q810
Q303801,Q1036
Q322607,Q79
Q327237,Q21476759
Q303801,Q929
Q322607,Q858
Q381375,Q130216
Q381375,Q244165
Q381375,Q318657
Q190758,Q3374306
Q321780,Q18973
Q322607,Q15180
Q202465,Q1036
Q371394,Q843
Q371394,Q668
Q233583,Q843
Q233583,Q668
Q190758,Q24911485
Q190758,Q178328
Q303801,Q974
Q322607,Q26683
Q381375,Q1751089
Q202465,Q924
Q303801,Q958
Q327237,Q916
Q381375,Q131337
Q223085,Q792
Q223085,Q783
Q190029,Q838261
Q318250,Q199841
Q327237,Q954
Q381375,Q132856
Q285280,Q907112
Q318250,Q828005
Q202465,Q26683
Q318250,Q1462545
Q327237,Q963
Q318250,Q1477220
Q327237,Q63345
Q327237,Q974
Q190758,Q1049
Q321780,Q171795
Q190029,Q193366
Q404517,Q843
Q404517,Q668
Q381375,Q227
Q381375,Q399
Q303801,Q1501987
Q303801,Q108462
Q381375,Q15180
Q318250,Q241
Q318250,Q1045
Q318250,Q115
Q190029,Q31
Q190029,Q45
Q190029,Q183
Q190029,Q43
Q190029,Q222
Q190029,Q29
Q190029,Q38
Q190029,Q55
Q190029,Q142
Q190029,Q35
Q190029,Q213
Q190029,Q16
Q190029,Q20
Q190029,Q36
Q190029,Q145
Q202465,Q2738248
Q190029,Q28
Q327237,Q249015
Q285280,Q159
Q285280,Q212
Q190029,Q189
Q327237,Q2838075
Q190029,Q30
Q190029,Q32
Q285280,Q217
Q371394,Q3349507
Q318250,Q15180
Q202465,Q617078
Q202465,Q17435890
Q327237,Q1501987
Q327237,Q217726
Q632787,Q262
Q609836,Q907051
Q632787,Q1016
Q632787,Q1025
Q619749,Q1565220
Q652285,Q1775277
Q644589,Q5066449
Q609836,Q824489
Q619749,Q19343726
Q644589,Q3751369
Q609836,Q608489
Q644589,Q17435890
Q644589,Q5255813
Q652285,Q2006542
Q619749,Q24042122
Q609836,Q504564
Q609836,Q776352
Q635533,Q3278067
Q635533,Q330988
Q611071,Q653414
Q619749,Q43
Q643925,Q6082434
Q553184,Q2429253
Q635533,Q2785731
Q611071,Q6500954
Q635533,Q867778
Q611071,Q1075228
Q611071,Q17435890
Q553184,Q3380905
Q632787,Q568900
Q632787,Q2429253
Q632787,Q3469483
Q644589,Q142
Q632787,Q4770519
Q632787,Q550108
Q632787,Q311841
Q632787,Q16525650
Q632787,Q12525579
Q609836,Q28699
Q620735,Q230
Q620735,Q159
Q632787,Q14501938
Q632787,Q212372
Q643925,Q159
Q632787,Q13257444
Q609836,Q28551
Q652284,Q828005
Q632787,Q2635966
Q620735,Q23334
Q635533,Q869
Q611071,Q142
Q652284,Q339636
Q611071,Q657
Q652284,Q1477220
Q635533,Q881
Q623171,Q148
Q620735,Q23427
Q623171,Q881
Q553184,Q801
Q632787,Q28877411
Q553184,Q39760
Q580961,Q912
Q611071,Q19878
Q580961,Q965
Q619749,Q1779776
Q632787,Q912
Q632787,Q142
Q632787,Q657
Q632787,Q948
Q632787,Q1032
Q49097,Q1356549
Q29269,Q210036
Q29269,Q1377638
Q29242,Q106974
Q49097,Q385509
Q29269,Q179846
Q29269,Q335460
Q8740,Q869
Q8740,Q148
Q8740,Q408
Q49097,Q124943
Q8740,Q664
Q49097,Q146885
Q8740,Q739
Q49097,Q207913
Q8740,Q30
Q8740,Q928
Q29269,Q4119298
Q29269,Q977234
Q8740,Q884
Q49092,Q623911
Q49097,Q623911
Q49092,Q681182
Q49097,Q681182
Q29269,Q4246195
Q29269,Q190731
Q29269,Q238754
Q37643,Q217194
Q49100,Q403707
Q29269,Q193354
Q49100,Q188783
Q8663,Q869
Q8663,Q31
Q8663,Q148
Q8663,Q43
Q8663,Q408
Q8663,Q664
Q8663,Q55
Q8663,Q142
Q8663,Q41
Q8663,Q16
Q8663,Q258
Q8663,Q145
Q8663,Q739
Q8663,Q115
Q8663,Q30
Q8663,Q928
Q8663,Q32
Q49092,Q16129151
Q49100,Q403494
Q8663,Q884
Q8740,Q423
Q49100,Q371935
Q29242,Q18973
Q8663,Q15180
Q49077,Q801
Q49077,Q810
Q49077,Q822
Q49077,Q79
Q49077,Q858
Q49092,Q801
Q49097,Q801
Q49097,Q810
Q49097,Q822
Q48249,Q414
Q48249,Q145
Q29269,Q159
Q37643,Q3108185
Q49077,Q796
Q49092,Q37610
Q8663,Q423
Q49092,Q58967
Q8740,Q174423
Q8740,Q191764
Q8740,Q180573
Q8740,Q1054184
Q49100,Q801
Q49100,Q79
Q49092,Q7172
Q8740,Q858887
Q29269,Q34453
Q37643,Q9559
Q37643,Q142
Q37643,Q145
Q49100,Q30
Q49100,Q858
Q37643,Q7416
Q37643,Q1316
Q37643,Q30
Q8740,Q2638486
Q8740,Q221066
Q37643,Q817
Q8740,Q172640
Q8740,Q870055
Q37643,Q851
Q49100,Q26683
Q37643,Q23505
Q49097,Q149805
Q49097,Q252054
Q49097,Q293332
Q49103,Q152220
Q49103,Q1718017
Q75756,Q974
Q68969,Q934644
Q49104,Q58967
Q49103,Q720676
Q170682,Q178888
Q49103,Q6510917
Q68969,Q83286
Q49103,Q452670
Q68969,Q16761250
Q170682,Q117907
Q151622,Q801
Q179275,Q274564
Q68969,Q211853
Q151622,Q38799
Q120843,Q230
Q68969,Q1274468
Q179275,Q1459585
Q120843,Q159
Q49100,Q926452
Q151622,Q39760
Q151622,Q42620
Q49100,Q2468387
Q179275,Q690419
Q49103,Q3326561
Q179275,Q1674170
Q49100,Q2915872
Q120843,Q58826
Q170682,Q212884
Q49100,Q467177
Q49100,Q467150
Q83085,Q476757
Q49100,Q1639447
Q49103,Q929554
Q49100,Q946803
Q49103,Q1822817
Q49103,Q17006094
Q49100,Q2915878
Q179275,Q837906
Q49100,Q2836110
Q151622,Q26683
Q82664,Q636947
Q82664,Q781221
Q75756,Q249015
Q75756,Q645254
Q68969,Q224
Q179275,Q973179
Q75756,Q1498659
Q75756,Q7287080
Q75756,Q3550188
Q82664,Q677505
Q82664,Q718723
Q75756,Q144806
Q83085,Q1360256
Q82664,Q5255812
Q75756,Q108462
Q75756,Q134469
Q49103,Q801
Q49104,Q452670
Q75756,Q2271402
Q170682,Q801
Q49103,Q41053
Q49103,Q858
Q49104,Q1349604
Q170682,Q38799
Q82664,Q785078
Q75756,Q5467563
Q170682,Q39760
Q179275,Q843
Q179275,Q145
Q49104,Q921699
Q179275,Q30
Q120843,Q210036
Q49103,Q26683
Q151622,Q117907
Q49101,Q801
Q49101,Q142
Q49101,Q79
Q49101,Q145
Q179275,Q11223
Q82664,Q1049
Q82664,Q794
Q120843,Q4116969
Q120843,Q4119298
Q75756,Q916
Q75756,Q1049
Q75756,Q1030
Q75756,Q657
Q179275,Q34490
Q75756,Q1036
Q75756,Q1037
Q83085,Q15180
Q75756,Q954
Q82664,Q796
Q75756,Q967
Q68969,Q272110
Q75756,Q28699
Q49104,Q41053
Q151622,Q29075570
Q2342102,Q174423
Q2342102,Q191764
Q2652686,Q6897693
Q2652686,Q7233551
Q2342102,Q2638478
Q2342102,Q69829
Q2342102,Q180573
Q2652686,Q689844
Q2342102,Q330988
Q1814745,Q854
Q2342102,Q1054184
Q2652686,Q4783799
Q2342102,Q858887
Q1640107,Q69829
Q2337340,Q419
Q2342102,Q867778
Q2337340,Q736
Q2342102,Q2638486
Q2904516,Q801
Q2904516,Q810
Q2904516,Q822
Q2342102,Q221066
Q2342102,Q1193879
Q2342102,Q1359816
Q2652686,Q25537498
Q2342102,Q172640
Q2904516,Q858
Q1640107,Q2575765
Q2342102,Q870055
Q1891008,Q241
Q2342102,Q94682
Q2342102,Q190949
Q1640107,Q13474305
Q2342102,Q1389839
Q2342102,Q6585270
Q1891008,Q262
Q1891008,Q1028
Q1783607,Q959701
Q1783607,Q648924
Q2342102,Q819
Q2342102,Q869
Q2652686,Q836
Q2342102,Q148
Q2342102,Q408
Q2342102,Q664
Q2342102,Q881
Q2342102,Q30
Q2342102,Q928
Q2342102,Q884
Q1760930,Q419
Q1760930,Q736
Q1814745,Q80312
Q2342102,Q423
Q1922071,Q843
Q1922071,Q668
Q4072719,Q889
Q748780,Q2638478
Q1072042,Q927467
Q4072719,Q843
Q182865,Q973179
Q181533,Q7184
Q748780,Q69829
Q185729,Q148
Q18159629,Q18712599
Q1072042,Q6930781
Q185729,Q142
Q185729,Q159
Q185729,Q42418
Q185729,Q145
Q1209169,Q23334
Q838695,Q755973
Q1072042,Q332065
Q1072042,Q6110167
Q1069736,Q334731
Q185729,Q30
Q838695,Q6500954
Q838695,Q2367261
Q1072042,Q1641888
Q3119132,Q843
Q3119132,Q668
Q3151731,Q96
Q1072042,Q1153941
Q748780,Q2638486
Q1354920,Q986
Q1354920,Q977
Q1072042,Q737040
Q838695,Q2862906
Q748780,Q1193879
Q1271059,Q114
Q1072042,Q2298600
Q1072042,Q7294660
Q1413732,Q843
Q1413732,Q668
Q748780,Q870055
Q182865,Q183
Q182865,Q408
Q182865,Q16
Q182865,Q145
Q959303,Q2593093
Q17507684,Q18712599
Q179275,Q2429253
Q2992536,Q2276662
Q179275,Q3186738
Q6022577,Q854
Q748780,Q94682
Q748780,Q190949
Q185729,Q34490
Q959303,Q666374
Q1069736,Q1274468
Q182865,Q30
Q959303,Q2654934
Q2992536,Q13474305
Q1434602,Q79
Q179275,Q4366828
Q6067814,Q30
Q1434602,Q1016
Q832273,Q986
Q832273,Q115
Q838695,Q916
Q182865,Q34490
Q1143379,Q2586527
Q838695,Q1036
Q1072042,Q115
Q1064335,Q145
Q179275,Q2746169
Q179275,Q2821724
Q838695,Q1037
Q1069736,Q224
Q4116897,Q781221
Q1072042,Q9603
Q179275,Q1806585
Q1064335,Q30
Q838695,Q967
Q185729,Q2429253
Q181533,Q192262
Q181533,Q334731
Q21647838,Q56010
Q179275,Q18711585
Q838695,Q28699
Q1262084,Q1470091
Q2992536,Q29
Q2992536,Q142
Q185729,Q1674170
Q179275,Q21070585
Q3151731,Q1322043
Q18121212,Q18712599
Q1209169,Q2034609
Q3151731,Q188590
Q8683,Q170541
Q181533,Q16761250
Q8683,Q1507074
Q1271059,Q7559152
Q4116897,Q207991
Q1143379,Q27628118
Q182865,Q309368
Q181533,Q211853
Q4116897,Q3108185
Q181533,Q1274468
Q3151731,Q2048646
Q182865,Q690419
Q959303,Q23334
Q182865,Q1674170
Q6022577,Q80312
Q3151731,Q2031202
Q1361929,Q833
Q6022577,Q3358912
Q1413732,Q2722920
Q1209169,Q230
Q1209169,Q159
Q1361929,Q252
Q182865,Q427941
Q181533,Q224
Q1143379,Q5237
Q1262084,Q977
Q182865,Q3076828
Q1072042,Q485112
Q163883,Q266026
Q521199,Q851
Q521199,Q42013
Q178810,Q1334803
Q178810,Q82403
Q178810,Q456977
Q178810,Q82400
Q178810,Q714040
Q178810,Q369251
Q163883,Q215
Q817206,Q30
Q209965,Q1041
Q178810,Q7409537
Q178810,Q447173
Q163883,Q57627
Q213394,Q854
Q842380,Q1278182
Q178810,Q82398
Q178810,Q548228
Q842380,Q6500954
Q178810,Q403421
Q842380,Q7568575
Q521199,Q317752
Q521199,Q1994260
Q521199,Q170468
Q521199,Q6854149
Q185407,Q747333
Q185407,Q939021
Q208484,Q913025
Q521199,Q146906
Q842380,Q4778218
Q208484,Q160805
Q521199,Q12228141
Q842380,Q912908
Q185407,Q5589197
Q842380,Q7068422
Q842380,Q3373953
Q521199,Q16119447
Q521199,Q16126787
Q188972,Q209065
Q521199,Q580188
Q521199,Q711230
Q208484,Q452670
Q521199,Q12222671
Q842380,Q7392592
Q208484,Q4794304
Q521199,Q12223130
Q208484,Q2293745
Q521199,Q217167
Q521199,Q307637
Q521199,Q317420
Q521199,Q12240981
Q521199,Q2276730
Q208484,Q2655595
Q208484,Q3326561
Q521199,Q307226
Q188972,Q7252733
Q209965,Q178254
Q521199,Q400701
Q521199,Q400961
Q178810,Q44329
Q817206,Q174423
Q521199,Q2460197
Q521199,Q5645953
Q163883,Q351852
Q208484,Q1779990
Q817206,Q180573
Q208484,Q1822817
Q163883,Q2349921
Q842380,Q1049
Q163883,Q2746968
Q817206,Q2598946
Q842380,Q1036
Q163883,Q194443
Q163883,Q272110
Q817206,Q1054184
Q521199,Q15075906
Q877450,Q869
Q877450,Q30
Q521199,Q267584
Q817206,Q2638486
Q817206,Q221066
Q817206,Q172640
Q213394,Q80312
Q521199,Q39524
Q213394,Q3358912
Q208484,Q41053
Q2583734,Q737475
Q2583734,Q731840
Q19686631,Q20423157
Q2583734,Q4343894
Q2583734,Q935996
Q2583734,Q948124
Q12055176,Q241
Q12055176,Q258
Q2444955,Q203427
Q2444955,Q217169
Q2444955,Q83162
Q2444955,Q750583
Q17984356,Q2429253
Q19686631,Q57480
Q12055176,Q28699
Q16335075,Q16746854
Q2444955,Q203423
Q17984356,Q1424473
Q17984356,Q4119382
Q2583734,Q252
Q2583734,Q44819
Q17984356,Q1672351
Q12055176,Q28551
Q2583734,Q574
Q2444955,Q890120
Q107802,Q311916
Q107802,Q336347
Q107802,Q568914
Q107802,Q957277
Q16335075,Q16150196
Q17984356,Q16849914
Q17984356,Q7246220
Q2444955,Q504564
Q17984356,Q311381
Q3119017,Q1967703
Q2444955,Q5505873
Q107802,Q461823
Q3119017,Q210069
Q19686631,Q979788
Q19686631,Q2558262
Q17984356,Q18712599
Q16335075,Q159
Q16335075,Q212
Q17984356,Q205047
Q107802,Q3108185
Q3119017,Q376073
Q19686631,Q20390543
Q19686631,Q20411748
Q19686631,Q19006319
Q19686631,Q12208895
Q12055176,Q907051
Q19686631,Q19894678
Q19686631,Q483672
Q2444955,Q258
Q19686631,Q6399485
Q17984356,Q794
Q19686631,Q22686158
Q19686631,Q20385277
Q19686631,Q20414253
Q107802,Q207
Q107802,Q408
Q17984356,Q858
Q107802,Q36
Q107802,Q9545
Q107802,Q145
Q107802,Q1316
Q107802,Q30
Q2583734,Q744214
Q2583734,Q855515
Q12055176,Q608489
Q19686631,Q20047019
Q2583734,Q1156997
Q19686631,Q19673630
Q2583734,Q1439335
Q19686631,Q21680111
Q19686631,Q19726748
Q19686631,Q20047030
Q3119017,Q57274
Q42306419,Q42296679
Q42410622,Q217
Q42410678,Q191764
Q42410592,Q227
Q15059994,Q801
Q42410592,Q399
Q15059994,Q794
Q152060,Q608489
Q42410540,Q403656
Q42410592,Q44302
Q42306419,Q774
Q42410520,Q1037
Q42410504,Q157744
Q152060,Q5473316
Q42306428,Q967
Q42410581,Q230
Q42410722,Q1037
Q42410643,Q734545
Q42410655,Q7888232
Q152060,Q916
Q42410550,Q1075228
Q42410655,Q1576536
Q42410622,Q907112
Q42410697,Q690240
Q42410678,Q424
Q42410540,Q1036
Q42306428,Q192647
Q42306431,Q774
Q42410520,Q193092
Q42410643,Q262
Q42410550,Q142
Q42410550,Q657
Q42410655,Q1033
Q42410546,Q774
Q42410655,Q1014
Q42410697,Q1037
Q42410546,Q30
Q42410722,Q192647
Q1021172,Q916
Q1021172,Q657
Q1021172,Q971
Q1021172,Q1037
Q18920712,Q34490
Q1960733,Q3238013
Q17324420,Q801
Q17324420,Q38799
Q55600802,Q7559152
Q11050383,Q854
Q1960733,Q4774296
Q55600802,Q207521
Q1960733,Q3326792
Q16974363,Q80312
Q877450,Q180573
Q1122110,Q1415585
Q1960733,Q3331367
Q1960733,Q6503255
Q877450,Q858887
Q1282732,Q430960
Q1282732,Q1154742
Q1122110,Q4330417
Q11154636,Q80312
Q877450,Q172640
Q877450,Q870055
Q16911838,Q21039420
Q16911838,Q22120970
Q18920712,Q18651204
Q11942758,Q1045
Q16974363,Q854
Q11942758,Q115
Q17324420,Q628461
Q1122110,Q863
Q1122110,Q159
Q1122110,Q42418
Q17324420,Q117907
Q1122110,Q232
Q18920712,Q21070585
Q17324420,Q818618
Q1122110,Q265
Q1122110,Q813
Q16911838,Q935288
Q17324420,Q212884
Q17324420,Q309474
Q11050383,Q80312
Q18920712,Q183
Q18920712,Q230
Q18920712,Q218
Q18920712,Q43
Q18920712,Q408
Q18920712,Q38
Q18920712,Q213
Q18920712,Q36
Q18920712,Q42418
Q18920712,Q145
Q11154636,Q854
Q18920712,Q30
Q17324420,Q2000803
