participant,participantLabel,participantDescription,inception,dissolved,type,typeLabel,typeDescription,participantID,typeID
http://www.wikidata.org/entity/Q80312,Liberation Tigers of Tamil Eelam,militant organization in Sri Lanka,1976-01-01T00:00:00Z,2009-01-01T00:00:00Z,http://www.wikidata.org/entity/Q7278,political party,organization that seeks to influence government policy and actions,Q80312,Q7278
http://www.wikidata.org/entity/Q80312,Liberation Tigers of Tamil Eelam,militant organization in Sri Lanka,1976-01-01T00:00:00Z,2009-01-01T00:00:00Z,http://www.wikidata.org/entity/Q20642011,guerrilla movement,military organization practicing irregular warfare against a larger and less-mobile traditional military,Q80312,Q20642011
http://www.wikidata.org/entity/Q58967,Israel Defense Forces,combined military forces of Israel,1948-05-26T00:00:00Z,,http://www.wikidata.org/entity/Q772547,armed forces,collective organization of a country's armed military and paramilitary,Q58967,Q772547
http://www.wikidata.org/entity/Q160805,United Nations Interim Force in Lebanon,,1978-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q1456930,peacekeeping force,military unit of one or more uninvolved countries which engage in a conflict,Q160805,Q1456930
http://www.wikidata.org/entity/Q7184,NATO,intergovernmental military alliance of Western states,1949-04-04T00:00:00Z,,http://www.wikidata.org/entity/Q245065,intergovernmental organization,organization composed primarily of sovereign states,Q7184,Q245065
http://www.wikidata.org/entity/Q7184,NATO,intergovernmental military alliance of Western states,1949-04-04T00:00:00Z,,http://www.wikidata.org/entity/Q1127126,military alliance,alliance between different states with the purpose to cooperate militarily,Q7184,Q1127126
http://www.wikidata.org/entity/Q11223,United States Air Force,air warfare branch of the United States Armed Forces,1947-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q61883,air force,military branch of service primarily concerned with aerial warfare,Q11223,Q61883
http://www.wikidata.org/entity/Q7184,NATO,intergovernmental military alliance of Western states,1949-04-04T00:00:00Z,,http://www.wikidata.org/entity/Q484652,international organization,"organization with an international membership, scope, or presence",Q7184,Q484652
http://www.wikidata.org/entity/Q11223,United States Air Force,air warfare branch of the United States Armed Forces,1947-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q781132,military branch,subdivision of the national armed forces of a sovereign nation or state,Q11223,Q781132
http://www.wikidata.org/entity/Q152220,Kurdistan Workers' Party,Kurdish nationalist and separatist armed organization,1978-11-27T00:00:00Z,,http://www.wikidata.org/entity/Q17149090,armed organization,organization which achieves or tries to achieve its goals using weapons,Q152220,Q17149090
http://www.wikidata.org/entity/Q41053,Hezbollah,Shi'a Islamist militant group and political party based in Lebanon,1985-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q153936,militia,generally refers to an army or other fighting force that is composed of non-professional fighters,Q41053,Q153936
http://www.wikidata.org/entity/Q160805,United Nations Interim Force in Lebanon,,1978-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q245065,intergovernmental organization,organization composed primarily of sovereign states,Q160805,Q245065
http://www.wikidata.org/entity/Q41053,Hezbollah,Shi'a Islamist militant group and political party based in Lebanon,1985-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q17127659,terrorist organization,group designated as terrorist by an authority,Q41053,Q17127659
http://www.wikidata.org/entity/Q56010,Bundeswehr,unified armed forces of Germany and their civil administration and procurement authorities,1955-11-12T00:00:00Z,,http://www.wikidata.org/entity/Q1691358,Q1691358,,Q56010,Q1691358
http://www.wikidata.org/entity/Q152220,Kurdistan Workers' Party,Kurdish nationalist and separatist armed organization,1978-11-27T00:00:00Z,,http://www.wikidata.org/entity/Q17127659,terrorist organization,group designated as terrorist by an authority,Q152220,Q17127659
http://www.wikidata.org/entity/Q108462,Lord's Resistance Army,"rebel movement formed by Joseph Kony in northern Uganda in 1987, incorporating remnants of Alice Lakwena's Holy Spirit Mobile Forces/Movement and Odong Latek's Uganda People's Democratic Army",1987-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q153936,militia,generally refers to an army or other fighting force that is composed of non-professional fighters,Q108462,Q153936
http://www.wikidata.org/entity/Q160805,United Nations Interim Force in Lebanon,,1978-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q484652,international organization,"organization with an international membership, scope, or presence",Q160805,Q484652
http://www.wikidata.org/entity/Q160805,United Nations Interim Force in Lebanon,,1978-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q213283,diplomatic mission,group of people from one state present in another state to represent the sending state,Q160805,Q213283
http://www.wikidata.org/entity/Q56010,Bundeswehr,unified armed forces of Germany and their civil administration and procurement authorities,1955-11-12T00:00:00Z,,http://www.wikidata.org/entity/Q772547,armed forces,collective organization of a country's armed military and paramilitary,Q56010,Q772547
http://www.wikidata.org/entity/Q41053,Hezbollah,Shi'a Islamist militant group and political party based in Lebanon,1985-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q7278,political party,organization that seeks to influence government policy and actions,Q41053,Q7278
http://www.wikidata.org/entity/Q212372,Boko Haram,West African branch of the Islamic State of Iraq and the Levant,2002-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q1673189,irregular military,any non-standard military organization,Q212372,Q1673189
http://www.wikidata.org/entity/Q212372,Boko Haram,West African branch of the Islamic State of Iraq and the Levant,2002-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q17127659,terrorist organization,group designated as terrorist by an authority,Q212372,Q17127659
http://www.wikidata.org/entity/Q178328,Janjaweed,North African militia,1987-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q153936,militia,generally refers to an army or other fighting force that is composed of non-professional fighters,Q178328,Q153936
http://www.wikidata.org/entity/Q666374,Mkhedrioni,paramilitary group and political organization in the Republic of Georgia,1989-01-01T00:00:00Z,1995-01-01T00:00:00Z,http://www.wikidata.org/entity/Q7210356,political organisation,group involved in political activities,Q666374,Q7210356
http://www.wikidata.org/entity/Q174423,National Front for the Liberation of South Vietnam,armed mass political organization  (1961–1976) in South Vietnam and Cambodia,1954-07-21T00:00:00Z,1976-07-02T00:00:00Z,http://www.wikidata.org/entity/Q1855859,popular front,,Q174423,Q1855859
http://www.wikidata.org/entity/Q174423,National Front for the Liberation of South Vietnam,armed mass political organization  (1961–1976) in South Vietnam and Cambodia,1954-07-21T00:00:00Z,1976-07-02T00:00:00Z,http://www.wikidata.org/entity/Q7210356,political organisation,group involved in political activities,Q174423,Q7210356
http://www.wikidata.org/entity/Q190949,Vietnamese Independence League,National independence coalition 1941->51.,1941-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q20642011,guerrilla movement,military organization practicing irregular warfare against a larger and less-mobile traditional military,Q190949,Q20642011
http://www.wikidata.org/entity/Q188590,Zapatista Army of National Liberation,far-left libertarian-socialist political group,1983-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q20642011,guerrilla movement,military organization practicing irregular warfare against a larger and less-mobile traditional military,Q188590,Q20642011
http://www.wikidata.org/entity/Q203427,Zimbabwe African National Union,militant organisation that fought against white minority rule in Rhodesia,1963-08-08T00:00:00Z,,http://www.wikidata.org/entity/Q20642011,guerrilla movement,military organization practicing irregular warfare against a larger and less-mobile traditional military,Q203427,Q20642011
http://www.wikidata.org/entity/Q309368,Northern Alliance,military front,1996-01-01T00:00:00Z,2001-01-01T00:00:00Z,http://www.wikidata.org/entity/Q15627509,military organization,structuring of the armed forces of a state,Q309368,Q15627509
http://www.wikidata.org/entity/Q249015,Democratic Forces for the Liberation of Rwanda,armed rebel group active in the eastern Democratic Republic of the Congo,2000-09-30T00:00:00Z,,http://www.wikidata.org/entity/Q17149090,armed organization,organization which achieves or tries to achieve its goals using weapons,Q249015,Q17149090
http://www.wikidata.org/entity/Q608489,Front for the Liberation of the Enclave of Cabinda,political party,1963-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q7278,political party,organization that seeks to influence government policy and actions,Q608489,Q7278
http://www.wikidata.org/entity/Q608489,Front for the Liberation of the Enclave of Cabinda,political party,1963-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q20642011,guerrilla movement,military organization practicing irregular warfare against a larger and less-mobile traditional military,Q608489,Q20642011
http://www.wikidata.org/entity/Q272110,Yugoslav People's Army,1945-1992 combined military forces of Yugoslavia,1945-03-01T00:00:00Z,1992-01-01T00:00:00Z,http://www.wikidata.org/entity/Q8473,military,organized body primarily tasked with preparing for and conducting war,Q272110,Q8473
http://www.wikidata.org/entity/Q190949,Vietnamese Independence League,National independence coalition 1941->51.,1941-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q209225,liberation movement,"organization or political movement leading a rebellion, or a non-violent social movement, against a colonial power or national government",Q190949,Q209225
http://www.wikidata.org/entity/Q666374,Mkhedrioni,paramilitary group and political organization in the Republic of Georgia,1989-01-01T00:00:00Z,1995-01-01T00:00:00Z,http://www.wikidata.org/entity/Q207320,paramilitary,"organized force, possibly armed, other than the regular military",Q666374,Q207320
http://www.wikidata.org/entity/Q193366,Kosovo Liberation Army,ethnic-Albanian nationalist paramilitary organization (1992–1999),1993-01-01T00:00:00Z,1999-09-20T00:00:00Z,http://www.wikidata.org/entity/Q207320,paramilitary,"organized force, possibly armed, other than the regular military",Q193366,Q207320
http://www.wikidata.org/entity/Q385509,Palmach,elite strike force of the Haganah in Mandatory Palestine,1941-05-15T00:00:00Z,1948-01-01T00:00:00Z,http://www.wikidata.org/entity/Q176799,military unit,organization formed as part of an armed force,Q385509,Q176799
http://www.wikidata.org/entity/Q190949,Vietnamese Independence League,National independence coalition 1941->51.,1941-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q1855859,popular front,,Q190949,Q1855859
http://www.wikidata.org/entity/Q174423,National Front for the Liberation of South Vietnam,armed mass political organization  (1961–1976) in South Vietnam and Cambodia,1954-07-21T00:00:00Z,1976-07-02T00:00:00Z,http://www.wikidata.org/entity/Q20642011,guerrilla movement,military organization practicing irregular warfare against a larger and less-mobile traditional military,Q174423,Q20642011
http://www.wikidata.org/entity/Q203427,Zimbabwe African National Union,militant organisation that fought against white minority rule in Rhodesia,1963-08-08T00:00:00Z,,http://www.wikidata.org/entity/Q209225,liberation movement,"organization or political movement leading a rebellion, or a non-violent social movement, against a colonial power or national government",Q203427,Q209225
http://www.wikidata.org/entity/Q249015,Democratic Forces for the Liberation of Rwanda,armed rebel group active in the eastern Democratic Republic of the Congo,2000-09-30T00:00:00Z,,http://www.wikidata.org/entity/Q7278,political party,organization that seeks to influence government policy and actions,Q249015,Q7278
http://www.wikidata.org/entity/Q311381,Quds Force,Fighters without borders,1980-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q234497,special forces,military units trained to conduct special operations,Q311381,Q234497
http://www.wikidata.org/entity/Q623911,Arab Liberation Army,Wikimedia list article,1947-01-01T00:00:00Z,1948-01-01T00:00:00Z,http://www.wikidata.org/entity/Q207320,paramilitary,"organized force, possibly armed, other than the regular military",Q623911,Q207320
http://www.wikidata.org/entity/Q623911,Arab Liberation Army,Wikimedia list article,1947-01-01T00:00:00Z,1948-01-01T00:00:00Z,http://www.wikidata.org/entity/Q20642011,guerrilla movement,military organization practicing irregular warfare against a larger and less-mobile traditional military,Q623911,Q20642011
http://www.wikidata.org/entity/Q2429253,Islamic State of Iraq and the Levant,Salafi jihadist terrorist and militant group,2006-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q17127659,terrorist organization,group designated as terrorist by an authority,Q2429253,Q17127659
http://www.wikidata.org/entity/Q2429253,Islamic State of Iraq and the Levant,Salafi jihadist terrorist and militant group,2006-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q131401,caliphate,"Islamic form of government, considered a successor state to the realm of Muhammad",Q2429253,Q131401
http://www.wikidata.org/entity/Q2429253,Islamic State of Iraq and the Levant,Salafi jihadist terrorist and militant group,2006-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q7448178,self-proclaimed monarchy,proclaiming one's self a royal title,Q2429253,Q7448178
http://www.wikidata.org/entity/Q2429253,Islamic State of Iraq and the Levant,Salafi jihadist terrorist and militant group,2006-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q21512251,self-proclaimed state,"entity that declares itself a state, but is not recognizes as such by other states",Q2429253,Q21512251
http://www.wikidata.org/entity/Q2429253,Islamic State of Iraq and the Levant,Salafi jihadist terrorist and militant group,1999-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q17149090,armed organization,organization which achieves or tries to achieve its goals using weapons,Q2429253,Q17149090
http://www.wikidata.org/entity/Q2429253,Islamic State of Iraq and the Levant,Salafi jihadist terrorist and militant group,1999-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q21512251,self-proclaimed state,"entity that declares itself a state, but is not recognizes as such by other states",Q2429253,Q21512251
http://www.wikidata.org/entity/Q2429253,Islamic State of Iraq and the Levant,Salafi jihadist terrorist and militant group,1999-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q17127659,terrorist organization,group designated as terrorist by an authority,Q2429253,Q17127659
http://www.wikidata.org/entity/Q2429253,Islamic State of Iraq and the Levant,Salafi jihadist terrorist and militant group,2006-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q17149090,armed organization,organization which achieves or tries to achieve its goals using weapons,Q2429253,Q17149090
http://www.wikidata.org/entity/Q912908,Sudan People's Liberation Army,,1983-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q20642011,guerrilla movement,military organization practicing irregular warfare against a larger and less-mobile traditional military,Q912908,Q20642011
http://www.wikidata.org/entity/Q912908,Sudan People's Liberation Army,,1983-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q37726,army,military branch of service primarily focused on ground warfare,Q912908,Q37726
http://www.wikidata.org/entity/Q929554,South Lebanon Army,Israeli-backed militia during the Lebanese Civil War,1976-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q153936,militia,generally refers to an army or other fighting force that is composed of non-professional fighters,Q929554,Q153936
http://www.wikidata.org/entity/Q2349921,Slovenian Territorial Defence,,1968-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q176799,military unit,organization formed as part of an armed force,Q2349921,Q176799
http://www.wikidata.org/entity/Q2271402,National Council for the Defense of Democracy–Forces for the Defense of Democracy,political party,1994-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q7278,political party,organization that seeks to influence government policy and actions,Q2271402,Q7278
http://www.wikidata.org/entity/Q2271402,National Council for the Defense of Democracy–Forces for the Defense of Democracy,political party,1994-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q20642011,guerrilla movement,military organization practicing irregular warfare against a larger and less-mobile traditional military,Q2271402,Q20642011
http://www.wikidata.org/entity/Q1779990,Tigers Militia,A political party in Lebanon,,,http://www.wikidata.org/entity/Q17149090,armed organization,organization which achieves or tries to achieve its goals using weapons,Q1779990,Q17149090
http://www.wikidata.org/entity/Q2429253,Islamic State of Iraq and the Levant,Salafi jihadist terrorist and militant group,1999-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q131401,caliphate,"Islamic form of government, considered a successor state to the realm of Muhammad",Q2429253,Q131401
http://www.wikidata.org/entity/Q935288,Libyan armed forces,combined military forces of Libya,1977-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q772547,armed forces,collective organization of a country's armed military and paramilitary,Q935288,Q772547
http://www.wikidata.org/entity/Q959701,Armed Forces of El Salvador,combined military forces of El Salvador,,,http://www.wikidata.org/entity/Q772547,armed forces,collective organization of a country's armed military and paramilitary,Q959701,Q772547
http://www.wikidata.org/entity/Q1153941,Oromo Liberation Front,guerrilla movement and political party,1973-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q7278,political party,organization that seeks to influence government policy and actions,Q1153941,Q7278
http://www.wikidata.org/entity/Q1153941,Oromo Liberation Front,guerrilla movement and political party,1973-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q20642011,guerrilla movement,military organization practicing irregular warfare against a larger and less-mobile traditional military,Q1153941,Q20642011
http://www.wikidata.org/entity/Q1674170,Turkistan Islamic Party,,1997-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q153936,militia,generally refers to an army or other fighting force that is composed of non-professional fighters,Q1674170,Q153936
http://www.wikidata.org/entity/Q2429253,Islamic State of Iraq and the Levant,Salafi jihadist terrorist and militant group,1999-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q7448178,self-proclaimed monarchy,proclaiming one's self a royal title,Q2429253,Q7448178
http://www.wikidata.org/entity/Q1674170,Turkistan Islamic Party,,1997-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q17127659,terrorist organization,group designated as terrorist by an authority,Q1674170,Q17127659
http://www.wikidata.org/entity/Q1967703,National Resistance Army,military wing of the National Resistance Movement that waged the Ugandan Bush War (Luwero War) against the Ugandan government,1981-06-01T00:00:00Z,1995-01-01T00:00:00Z,http://www.wikidata.org/entity/Q17149090,armed organization,organization which achieves or tries to achieve its goals using weapons,Q1967703,Q17149090
http://www.wikidata.org/entity/Q1639447,Pakistan Air Force,air warfare branch of Pakistan's armed forces,1947-08-14T00:00:00Z,,http://www.wikidata.org/entity/Q61883,air force,military branch of service primarily concerned with aerial warfare,Q1639447,Q61883
http://www.wikidata.org/entity/Q1322043,Popular Revolutionary Army,Leftist-Guerilla Group,1996-06-28T00:00:00Z,,http://www.wikidata.org/entity/Q20642011,guerrilla movement,military organization practicing irregular warfare against a larger and less-mobile traditional military,Q1322043,Q20642011
http://www.wikidata.org/entity/Q1806585,Lashkar-e-Islam,,2004-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q17149090,armed organization,organization which achieves or tries to achieve its goals using weapons,Q1806585,Q17149090
http://www.wikidata.org/entity/Q16849914,Iraqi security forces,term used by the United States Department of Defense,,,http://www.wikidata.org/entity/Q772547,armed forces,collective organization of a country's armed military and paramilitary,Q16849914,Q772547
http://www.wikidata.org/entity/Q4116969,Caucasian Front,,2005-05-01T00:00:00Z,2007-10-07T00:00:00Z,http://www.wikidata.org/entity/Q60531252,separatist movement,,Q4116969,Q60531252
http://www.wikidata.org/entity/Q4794304,Army of Free Lebanon,Christian splinter faction of the Lebanese Army that came to play a major role in the 1975-77 phase of the Lebanese Civil War,,,http://www.wikidata.org/entity/Q17149090,armed organization,organization which achieves or tries to achieve its goals using weapons,Q4794304,Q17149090
http://www.wikidata.org/entity/Q4366828,Frontier Constabulary,,1913-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q732717,law enforcement agency,government agency responsible for the enforcement of the laws,Q4366828,Q732717
http://www.wikidata.org/entity/Q15075906,Sa'ka Forces,,1956-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q176799,military unit,organization formed as part of an armed force,Q15075906,Q176799
http://www.wikidata.org/entity/Q4119382,Kata'ib Hezbollah,Shia Islamist militant group based in Iraq,2003-10-01T00:00:00Z,,http://www.wikidata.org/entity/Q17149090,armed organization,organization which achieves or tries to achieve its goals using weapons,Q4119382,Q17149090
http://www.wikidata.org/entity/Q2575765,Moroccan Army of Liberation,,,,http://www.wikidata.org/entity/Q207320,paramilitary,"organized force, possibly armed, other than the regular military",Q2575765,Q207320
http://www.wikidata.org/entity/Q3326792,Movement for Democracy in Liberia,former Liberian rebel group,,,http://www.wikidata.org/entity/Q17149090,armed organization,organization which achieves or tries to achieve its goals using weapons,Q3326792,Q17149090
http://www.wikidata.org/entity/Q16849914,Iraqi security forces,term used by the United States Department of Defense,,,http://www.wikidata.org/entity/Q35535,police,constituted body of persons empowered by the state to enforce the law,Q16849914,Q35535
http://www.wikidata.org/entity/Q2586527,National Guard of Georgia,reserve branch of Georgia's military,1990-12-20T00:00:00Z,,http://www.wikidata.org/entity/Q1144991,military reserve force,military organization composed of citizens of a country who combine a military role or career with a civilian career,Q2586527,Q1144991
http://www.wikidata.org/entity/Q6110167,Jabhatul Islamiya,Islamist insurgent group in Somalia in 2007-2009,,,http://www.wikidata.org/entity/Q20642011,guerrilla movement,military organization practicing irregular warfare against a larger and less-mobile traditional military,Q6110167,Q20642011
http://www.wikidata.org/entity/Q4774296,Anti-Terrorist Unit,,,,http://www.wikidata.org/entity/Q176799,military unit,organization formed as part of an armed force,Q4774296,Q176799
http://www.wikidata.org/entity/Q21070585,Islamic State of Iraq and the Levant – Khorasan Province,Branch of the Islamic State operating in Afghanistan and Pakistan,,,http://www.wikidata.org/entity/Q17127659,terrorist organization,group designated as terrorist by an authority,Q21070585,Q17127659
http://www.wikidata.org/entity/Q5066449,Chadian National Armed Forces,1983-1990 combined military forces of Chad,,,http://www.wikidata.org/entity/Q772547,armed forces,collective organization of a country's armed military and paramilitary,Q5066449,Q772547
http://www.wikidata.org/entity/Q4783799,Arakan Army,"Rakhine insurgent group based in Kachin State, Myanmar",2009-04-10T00:00:00Z,,http://www.wikidata.org/entity/Q20642011,guerrilla movement,military organization practicing irregular warfare against a larger and less-mobile traditional military,Q4783799,Q20642011
http://www.wikidata.org/entity/Q18712599,Combined Joint Task Force – Operation Inherent Resolve,,2014-10-01T00:00:00Z,,http://www.wikidata.org/entity/Q17165317,Joint Task Force,ad hoc military formation,Q18712599,Q17165317
http://www.wikidata.org/entity/Q5473316,Forças Armadas de Cabinda,,,,http://www.wikidata.org/entity/Q20642011,guerrilla movement,military organization practicing irregular warfare against a larger and less-mobile traditional military,Q5473316,Q20642011
http://www.wikidata.org/entity/Q15075906,Sa'ka Forces,,1956-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q781132,military branch,subdivision of the national armed forces of a sovereign nation or state,Q15075906,Q781132
http://www.wikidata.org/entity/Q3358912,Indian Peace Keeping Force,Former Indian military force operating in Sri Lanka,,,http://www.wikidata.org/entity/Q176799,military unit,organization formed as part of an armed force,Q3358912,Q176799
http://www.wikidata.org/entity/Q3373953,South Sudan Liberation Movement,armed group that operates in the Upper Nile Region of South Sudan,,,http://www.wikidata.org/entity/Q17149090,armed organization,organization which achieves or tries to achieve its goals using weapons,Q3373953,Q17149090
http://www.wikidata.org/entity/Q3331367,Armed Forces of Liberia,combined military forces of Liberia,1908-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q772547,armed forces,collective organization of a country's armed military and paramilitary,Q3331367,Q772547
http://www.wikidata.org/entity/Q3238013,Liberians United for Reconciliation and Democracy,,,,http://www.wikidata.org/entity/Q17149090,armed organization,organization which achieves or tries to achieve its goals using weapons,Q3238013,Q17149090
http://www.wikidata.org/entity/Q4116969,Caucasian Front,,2005-05-01T00:00:00Z,2007-10-07T00:00:00Z,http://www.wikidata.org/entity/Q176799,military unit,organization formed as part of an armed force,Q4116969,Q176799
http://www.wikidata.org/entity/Q42296679,The Democratic Front Against Repressions,This term refers to the faction that participated in the Guatemalan Civil War starting from 1978,,,http://www.wikidata.org/entity/Q17149090,armed organization,organization which achieves or tries to achieve its goals using weapons,Q42296679,Q17149090
http://www.wikidata.org/entity/Q720676,Armenian Secret Army for the Liberation of Armenia,Armenian militant organization,1975-01-01T00:00:00Z,1988-01-01T00:00:00Z,http://www.wikidata.org/entity/Q207320,paramilitary,"organized force, possibly armed, other than the regular military",Q720676,Q207320
http://www.wikidata.org/entity/Q720676,Armenian Secret Army for the Liberation of Armenia,Armenian militant organization,1975-01-01T00:00:00Z,1988-01-01T00:00:00Z,http://www.wikidata.org/entity/Q20642011,guerrilla movement,military organization practicing irregular warfare against a larger and less-mobile traditional military,Q720676,Q20642011
http://www.wikidata.org/entity/Q681182,Army of the Holy War,Palestinian Arab paramilitary force,1948-01-01T00:00:00Z,1948-10-03T00:00:00Z,http://www.wikidata.org/entity/Q207320,paramilitary,"organized force, possibly armed, other than the regular military",Q681182,Q207320
http://www.wikidata.org/entity/Q21070585,Islamic State of Iraq and the Levant – Khorasan Province,Branch of the Islamic State operating in Afghanistan and Pakistan,,,http://www.wikidata.org/entity/Q17149090,armed organization,organization which achieves or tries to achieve its goals using weapons,Q21070585,Q17149090
http://www.wikidata.org/entity/Q293332,Lehi,militant Zionist group in the British Mandate of Palestine,1940-01-01T00:00:00Z,1948-01-01T00:00:00Z,http://www.wikidata.org/entity/Q17127659,terrorist organization,group designated as terrorist by an authority,Q293332,Q17127659
http://www.wikidata.org/entity/Q207913,Irgun,zionist terrorist group,1931-01-01T00:00:00Z,1948-09-28T00:00:00Z,http://www.wikidata.org/entity/Q207320,paramilitary,"organized force, possibly armed, other than the regular military",Q207913,Q207320
http://www.wikidata.org/entity/Q293332,Lehi,militant Zionist group in the British Mandate of Palestine,1940-01-01T00:00:00Z,1948-01-01T00:00:00Z,http://www.wikidata.org/entity/Q207320,paramilitary,"organized force, possibly armed, other than the regular military",Q293332,Q207320
http://www.wikidata.org/entity/Q3374306,Sudan Revolutionary Front,,,,http://www.wikidata.org/entity/Q8473,military,organized body primarily tasked with preparing for and conducting war,Q3374306,Q8473
http://www.wikidata.org/entity/Q855515,Indonesian National Armed Forces,combined military forces of Indonesia,1945-10-05T00:00:00Z,,http://www.wikidata.org/entity/Q8473,military,organized body primarily tasked with preparing for and conducting war,Q855515,Q8473
http://www.wikidata.org/entity/Q24911485,Sudanese Awakening Revolutionary Council,,,,http://www.wikidata.org/entity/Q153936,militia,generally refers to an army or other fighting force that is composed of non-professional fighters,Q24911485,Q153936
http://www.wikidata.org/entity/Q837906,Pakistan Armed Forces,combined military forces of Pakistan,1947-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q8473,military,organized body primarily tasked with preparing for and conducting war,Q837906,Q8473
http://www.wikidata.org/entity/Q27628118,Internal Troops of Georgia,,1991-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q176799,military unit,organization formed as part of an armed force,Q27628118,Q176799
http://www.wikidata.org/entity/Q252054,Haganah,A Jewish paramilitary organization in what was then the British Mandate of Palestine from 1920 to 1948.,1920-06-15T00:00:00Z,1948-05-28T00:00:00Z,http://www.wikidata.org/entity/Q207320,paramilitary,"organized force, possibly armed, other than the regular military",Q252054,Q207320
http://www.wikidata.org/entity/Q3374306,Sudan Revolutionary Front,,,,http://www.wikidata.org/entity/Q7210356,political organisation,group involved in political activities,Q3374306,Q7210356
http://www.wikidata.org/entity/Q755973,Interahamwe,paramilitary group involved in 1994 Rwandan Genocide,1992-01-01T00:00:00Z,1994-01-01T00:00:00Z,http://www.wikidata.org/entity/Q207320,paramilitary,"organized force, possibly armed, other than the regular military",Q755973,Q207320
http://www.wikidata.org/entity/Q681182,Army of the Holy War,Palestinian Arab paramilitary force,1948-01-01T00:00:00Z,1948-10-03T00:00:00Z,http://www.wikidata.org/entity/Q153936,militia,generally refers to an army or other fighting force that is composed of non-professional fighters,Q681182,Q153936
