participant,participantLabel,participantDescription,countryCode,inception,dissolved,government,governmentLabel,participantID,govtID
http://www.wikidata.org/entity/Q858,Syria,sovereign state in Western Asia,SYR,1920-03-08T00:00:00Z,,http://www.wikidata.org/entity/Q50686,single-party state,Q858,Q50686
http://www.wikidata.org/entity/Q884,South Korea,sovereign state in East Asia,KOR,1948-08-15T00:00:00Z,,http://www.wikidata.org/entity/Q7270,republic,Q884,Q7270
http://www.wikidata.org/entity/Q967,Burundi,sovereign state in Africa,BDI,1962-07-01T00:00:00Z,,,,Q967,
http://www.wikidata.org/entity/Q884,South Korea,sovereign state in East Asia,KOR,1948-08-15T00:00:00Z,,http://www.wikidata.org/entity/Q49892,presidential system,Q884,Q49892
http://www.wikidata.org/entity/Q1032,Niger,sovereign state in Western Africa,NER,1960-01-01T00:00:00Z,,,,Q1032,
http://www.wikidata.org/entity/Q869,Thailand,sovereign state in Southeast Asia,THA,1238-01-01T00:00:00Z,,,,Q869,
http://www.wikidata.org/entity/Q854,Sri Lanka,"sovereign state in South Asia, situated on an island in the Indian Ocean",LKA,1972-05-22T00:00:00Z,,,,Q854,
http://www.wikidata.org/entity/Q869,Thailand,sovereign state in Southeast Asia,THA,1768-12-28T00:00:00Z,,,,Q869,
http://www.wikidata.org/entity/Q916,Angola,sovereign state in Africa,AGO,,,,,Q916,
http://www.wikidata.org/entity/Q794,Iran,sovereign state in Western Asia,IRN,1979-04-01T00:00:00Z,,http://www.wikidata.org/entity/Q672729,Islamic republic,Q794,Q672729
http://www.wikidata.org/entity/Q858,Syria,sovereign state in Western Asia,SYR,1920-03-08T00:00:00Z,,http://www.wikidata.org/entity/Q49890,semi-presidential system,Q858,Q49890
http://www.wikidata.org/entity/Q813,Kyrgyzstan,sovereign state in Central Asia,KGZ,1991-01-01T00:00:00Z,,,,Q813,
http://www.wikidata.org/entity/Q863,Tajikistan,sovereign state in Central Asia,TJK,1991-09-09T00:00:00Z,,,,Q863,
http://www.wikidata.org/entity/Q1016,Libya,sovereign state in north Africa,LBY,1951-12-24T00:00:00Z,,,,Q1016,
http://www.wikidata.org/entity/Q858,Syria,sovereign state in Western Asia,SYR,1920-03-08T00:00:00Z,,http://www.wikidata.org/entity/Q179164,unitary state,Q858,Q179164
http://www.wikidata.org/entity/Q971,Republic of the Congo,sovereign state in Central Africa,COG,1960-01-01T00:00:00Z,,,,Q971,
http://www.wikidata.org/entity/Q858,Syria,sovereign state in Western Asia,SYR,1920-03-08T00:00:00Z,,http://www.wikidata.org/entity/Q4198907,parliamentary republic,Q858,Q4198907
http://www.wikidata.org/entity/Q1030,Namibia,sovereign state in southern Africa,NAM,1990-01-01T00:00:00Z,,,,Q1030,
http://www.wikidata.org/entity/Q928,Philippines,"sovereign state in Southeast Asia, situated on an archipelago of over 7,600 islands in the western Pacific Ocean",PHL,1565-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q7270,republic,Q928,Q7270
http://www.wikidata.org/entity/Q1028,Morocco,sovereign state in North Africa,MAR,1956-04-07T00:00:00Z,,http://www.wikidata.org/entity/Q7269,monarchy,Q1028,Q7269
http://www.wikidata.org/entity/Q801,Israel,sovereign state in Western Asia,ISR,1948-05-14T00:00:00Z,,http://www.wikidata.org/entity/Q4198907,parliamentary republic,Q801,Q4198907
http://www.wikidata.org/entity/Q1033,Nigeria,sovereign state in West Africa,NGA,1960-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q512187,federal republic,Q1033,Q512187
http://www.wikidata.org/entity/Q1025,Mauritania,sovereign state in Africa,MRT,1960-01-01T00:00:00Z,,,,Q1025,
http://www.wikidata.org/entity/Q1014,Liberia,sovereign state in West Africa,LBR,1822-01-07T00:00:00Z,,http://www.wikidata.org/entity/Q7270,republic,Q1014,Q7270
http://www.wikidata.org/entity/Q16,Canada,sovereign state in North America,CAN,1867-07-01T00:00:00Z,,http://www.wikidata.org/entity/Q43702,federal state,Q16,Q43702
http://www.wikidata.org/entity/Q20,Norway,sovereign state in Northern Europe,NOR,1814-05-17T00:00:00Z,,http://www.wikidata.org/entity/Q41614,constitutional monarchy,Q20,Q41614
http://www.wikidata.org/entity/Q20,Norway,sovereign state in Northern Europe,NOR,1905-06-07T00:00:00Z,,http://www.wikidata.org/entity/Q41614,constitutional monarchy,Q20,Q41614
http://www.wikidata.org/entity/Q28,Hungary,sovereign state in Central Europe,HUN,1000-12-01T00:00:00Z,,http://www.wikidata.org/entity/Q4198907,parliamentary republic,Q28,Q4198907
http://www.wikidata.org/entity/Q16,Canada,sovereign state in North America,CAN,1867-07-01T00:00:00Z,,http://www.wikidata.org/entity/Q3330103,parliamentary monarchy,Q16,Q3330103
http://www.wikidata.org/entity/Q20,Norway,sovereign state in Northern Europe,NOR,0900-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q41614,constitutional monarchy,Q20,Q41614
http://www.wikidata.org/entity/Q20,Norway,sovereign state in Northern Europe,NOR,1905-10-26T00:00:00Z,,http://www.wikidata.org/entity/Q41614,constitutional monarchy,Q20,Q41614
http://www.wikidata.org/entity/Q20,Norway,sovereign state in Northern Europe,NOR,1814-05-17T00:00:00Z,,http://www.wikidata.org/entity/Q188759,representative democracy,Q20,Q188759
http://www.wikidata.org/entity/Q20,Norway,sovereign state in Northern Europe,NOR,1905-06-07T00:00:00Z,,http://www.wikidata.org/entity/Q188759,representative democracy,Q20,Q188759
http://www.wikidata.org/entity/Q20,Norway,sovereign state in Northern Europe,NOR,0900-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q188759,representative democracy,Q20,Q188759
http://www.wikidata.org/entity/Q20,Norway,sovereign state in Northern Europe,NOR,1905-10-26T00:00:00Z,,http://www.wikidata.org/entity/Q188759,representative democracy,Q20,Q188759
http://www.wikidata.org/entity/Q29,Spain,sovereign state in Southwestern Europe,ESP,1479-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q3330103,parliamentary monarchy,Q29,Q3330103
http://www.wikidata.org/entity/Q16,Canada,sovereign state in North America,CAN,1867-07-01T00:00:00Z,,http://www.wikidata.org/entity/Q41614,constitutional monarchy,Q16,Q41614
http://www.wikidata.org/entity/Q2006542,Dominion of Pakistan,state in Asia 15 August 1947 – 23 March 1956,,1947-01-01T00:00:00Z,1956-01-01T00:00:00Z,http://www.wikidata.org/entity/Q223832,dominion of the British Empire,Q2006542,Q223832
http://www.wikidata.org/entity/Q986,Eritrea,sovereign state in the Horn of Africa,ERI,1993-05-24T00:00:00Z,,,,Q986,
http://www.wikidata.org/entity/Q1036,Uganda,sovereign state in East Africa,UGA,1962-01-01T00:00:00Z,,,,Q1036,
http://www.wikidata.org/entity/Q183,Germany,sovereign state in central-western Europe,DEU,,,http://www.wikidata.org/entity/Q5440547,federal parliamentary republic,Q183,Q5440547
http://www.wikidata.org/entity/Q977,Djibouti,sovereign state in Africa,DJI,1977-06-23T00:00:00Z,,,,Q977,
http://www.wikidata.org/entity/Q2006542,Dominion of Pakistan,state in Asia 15 August 1947 – 23 March 1956,,1947-01-01T00:00:00Z,1956-01-01T00:00:00Z,http://www.wikidata.org/entity/Q41614,constitutional monarchy,Q2006542,Q41614
http://www.wikidata.org/entity/Q843,Pakistan,sovereign state in South Asia,PAK,1947-08-14T00:00:00Z,,http://www.wikidata.org/entity/Q512187,federal republic,Q843,Q512187
http://www.wikidata.org/entity/Q881,Vietnam,sovereign state in Southeast Asia,VNM,1976-07-02T00:00:00Z,,,,Q881,
http://www.wikidata.org/entity/Q881,Vietnam,sovereign state in Southeast Asia,VNM,1945-09-02T00:00:00Z,,,,Q881,
http://www.wikidata.org/entity/Q912,Mali,sovereign state in West Africa,MLI,1960-09-22T00:00:00Z,,,,Q912,
http://www.wikidata.org/entity/Q817,Kuwait,sovereign state in Western Asia,KWT,1991-02-26T00:00:00Z,,http://www.wikidata.org/entity/Q41614,constitutional monarchy,Q817,Q41614
http://www.wikidata.org/entity/Q822,Lebanon,sovereign state in Western Asia,LBN,1943-11-22T00:00:00Z,,,,Q822,
http://www.wikidata.org/entity/Q810,Jordan,sovereign state in Western Asia,JOR,1946-01-01T00:00:00Z,,,,Q810,
http://www.wikidata.org/entity/Q889,Afghanistan,"sovereign state situated at the confluence of Western, Central, and South Asia",AFG,1978-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q672729,Islamic republic,Q889,Q672729
http://www.wikidata.org/entity/Q948,Tunisia,sovereign state in Northern Africa,TUN,1956-03-20T00:00:00Z,,http://www.wikidata.org/entity/Q49890,semi-presidential system,Q948,Q49890
http://www.wikidata.org/entity/Q889,Afghanistan,"sovereign state situated at the confluence of Western, Central, and South Asia",AFG,1926-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q672729,Islamic republic,Q889,Q672729
http://www.wikidata.org/entity/Q948,Tunisia,sovereign state in Northern Africa,TUN,1956-03-20T00:00:00Z,,http://www.wikidata.org/entity/Q4198907,parliamentary republic,Q948,Q4198907
http://www.wikidata.org/entity/Q954,Zimbabwe,sovereign state in southern Africa,ZWE,1980-04-18T00:00:00Z,,,,Q954,
http://www.wikidata.org/entity/Q889,Afghanistan,"sovereign state situated at the confluence of Western, Central, and South Asia",AFG,1709-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q672729,Islamic republic,Q889,Q672729
http://www.wikidata.org/entity/Q929,Central African Republic,sovereign state in Africa,CAF,1960-01-01T00:00:00Z,,,,Q929,
http://www.wikidata.org/entity/Q889,Afghanistan,"sovereign state situated at the confluence of Western, Central, and South Asia",AFG,2002-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q672729,Islamic republic,Q889,Q672729
http://www.wikidata.org/entity/Q889,Afghanistan,"sovereign state situated at the confluence of Western, Central, and South Asia",AFG,1823-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q672729,Islamic republic,Q889,Q672729
http://www.wikidata.org/entity/Q889,Afghanistan,"sovereign state situated at the confluence of Western, Central, and South Asia",AFG,1973-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q672729,Islamic republic,Q889,Q672729
http://www.wikidata.org/entity/Q889,Afghanistan,"sovereign state situated at the confluence of Western, Central, and South Asia",AFG,1747-06-19T00:00:00Z,,http://www.wikidata.org/entity/Q672729,Islamic republic,Q889,Q672729
http://www.wikidata.org/entity/Q889,Afghanistan,"sovereign state situated at the confluence of Western, Central, and South Asia",AFG,1992-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q672729,Islamic republic,Q889,Q672729
http://www.wikidata.org/entity/Q924,Tanzania,sovereign state in Africa,TZA,1964-04-26T00:00:00Z,,,,Q924,
http://www.wikidata.org/entity/Q414,Argentina,sovereign state in South America,ARG,1816-07-09T00:00:00Z,,http://www.wikidata.org/entity/Q512187,federal republic,Q414,Q512187
http://www.wikidata.org/entity/Q419,Peru,sovereign state in South America,PER,1821-07-28T00:00:00Z,,http://www.wikidata.org/entity/Q7270,republic,Q419,Q7270
http://www.wikidata.org/entity/Q783,Honduras,sovereign state in Central America,HND,1821-01-01T00:00:00Z,,,,Q783,
http://www.wikidata.org/entity/Q796,Iraq,sovereign state in Western Asia,IRQ,1932-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q512187,federal republic,Q796,Q512187
http://www.wikidata.org/entity/Q792,El Salvador,sovereign state in Central America,SLV,1842-01-01T00:00:00Z,,,,Q792,
http://www.wikidata.org/entity/Q668,India,sovereign state in South Asia,IND,1947-08-15T00:00:00Z,,http://www.wikidata.org/entity/Q512187,federal republic,Q668,Q512187
http://www.wikidata.org/entity/Q668,India,sovereign state in South Asia,IND,1947-08-15T00:00:00Z,,http://www.wikidata.org/entity/Q3043547,parliamentary democracy,Q668,Q3043547
http://www.wikidata.org/entity/Q736,Ecuador,sovereign state in South America,ECU,1811-10-11T00:00:00Z,,http://www.wikidata.org/entity/Q7270,republic,Q736,Q7270
http://www.wikidata.org/entity/Q736,Ecuador,sovereign state in South America,ECU,1822-05-24T00:00:00Z,,http://www.wikidata.org/entity/Q7270,republic,Q736,Q7270
http://www.wikidata.org/entity/Q736,Ecuador,sovereign state in South America,ECU,1811-10-11T00:00:00Z,,http://www.wikidata.org/entity/Q49892,presidential system,Q736,Q49892
http://www.wikidata.org/entity/Q736,Ecuador,sovereign state in South America,ECU,1822-05-24T00:00:00Z,,http://www.wikidata.org/entity/Q49892,presidential system,Q736,Q49892
http://www.wikidata.org/entity/Q736,Ecuador,sovereign state in South America,ECU,1809-08-10T00:00:00Z,,http://www.wikidata.org/entity/Q7270,republic,Q736,Q7270
http://www.wikidata.org/entity/Q736,Ecuador,sovereign state in South America,ECU,1809-08-10T00:00:00Z,,http://www.wikidata.org/entity/Q49892,presidential system,Q736,Q49892
http://www.wikidata.org/entity/Q819,Laos,sovereign state in Southeast Asia,LAO,1949-01-01T00:00:00Z,,,,Q819,
http://www.wikidata.org/entity/Q833,Malaysia,sovereign state in Southeast Asia,MYS,1957-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q584683,elective monarchy,Q833,Q584683
http://www.wikidata.org/entity/Q833,Malaysia,sovereign state in Southeast Asia,MYS,1957-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q3208952,federal monarchy,Q833,Q3208952
http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo,sovereign state in Central Africa,COD,1960-06-30T00:00:00Z,,http://www.wikidata.org/entity/Q7270,republic,Q974,Q7270
http://www.wikidata.org/entity/Q958,South Sudan,sovereign state in Africa,SSD,2011-07-09T00:00:00Z,,http://www.wikidata.org/entity/Q512187,federal republic,Q958,Q512187
http://www.wikidata.org/entity/Q833,Malaysia,sovereign state in Southeast Asia,MYS,1957-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q41614,constitutional monarchy,Q833,Q41614
http://www.wikidata.org/entity/Q963,Botswana,sovereign state in Southern Africa,BWA,1966-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q7270,republic,Q963,Q7270
http://www.wikidata.org/entity/Q836,Myanmar,sovereign state in Southeast Asia,MMR,1948-01-04T00:00:00Z,,http://www.wikidata.org/entity/Q7270,republic,Q836,Q7270
http://www.wikidata.org/entity/Q965,Burkina Faso,sovereign state in Africa,BFA,1960-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q7270,republic,Q965,Q7270
http://www.wikidata.org/entity/Q833,Malaysia,sovereign state in Southeast Asia,MYS,1957-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q3330103,parliamentary monarchy,Q833,Q3330103
